poi_id,name,province,city,district,address,official_category,source_official,source_blog,content_type,exploration_level,social_density,structure_level,needs_manual_check
1,东方明珠广播电视塔,上海市,上海市,浦东新区,浦东新区世纪大道 1 号,5A 级景区,TRUE,FALSE,general,iconic,mixed,highly-structured,FALSE
2,上海野生动物园,上海市,上海市,浦东新区,浦东新区南六公路 178 号,5A 级景区,TRUE,FALSE,general,iconic,mixed,highly-structured,FALSE
3,上海科技馆,上海市,上海市,浦东新区,浦东新区世纪大道 2000 号,5A 级景区,TRUE,FALSE,general,iconic,mixed,highly-structured,FALSE
4,中国共产党一大·二大·四大纪念馆,上海市,上海市,黄浦区,黄浦区黄陂南路 374 号（一大）、静安区老成都北路 7 弄 30 号（二大）、虹口区四川北路 1468 号（四大）,5A 级景区,TRUE,FALSE,history_culture,iconic,low-social,highly-structured,FALSE
5,上海市崇明区西沙明珠湖景区,上海市,上海市,崇明区,崇明区三华公路 333 号,5A 级景区,TRUE,FALSE,nature,iconic,low-social,highly-structured,FALSE
6,上海博物馆,上海市,上海市,黄浦区,黄浦区人民大道 201 号,4A 级景区,TRUE,TRUE,history_culture,semi-known,low-social,highly-structured,FALSE
7,上海佘山国家森林公园,上海市,上海市,松江区,松江区外青松公路 9258 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
8,上海豫园,上海市,上海市,黄浦区,黄浦区豫园老街 279 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
9,金茂大厦 88 层观光厅,上海市,上海市,浦东新区,浦东新区世纪大道 88 号,4A 级景区,TRUE,FALSE,general,semi-known,mixed,highly-structured,FALSE
10,上海城市规划展示馆,上海市,上海市,黄浦区,黄浦区人民大道 100 号,4A 级景区,TRUE,TRUE,art_design,semi-known,mixed,highly-structured,FALSE
11,东平国家森林公园,上海市,上海市,崇明区,崇明区北沿公路 2188 号,4A 级景区,TRUE,FALSE,nature,semi-known,low-social,highly-structured,FALSE
